sku,store,attribute_set,type,category,root_category,product_websites,brewing,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,enable_googlecheckout,food_pairing,gallery,gift_message_available,has_options,image,image_label,ingredients,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,nice_flowery_sentence,options_container,origins,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tasting_notes,tax_class_id,tea_liquor,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,links_related_sku,links_related_position,links_crosssell_sku,links_crosssell_position,links_upsell_sku,links_upsell_position,associated_sku,associated_default_qty,associated_position,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price_price,group_price_website,group_price_customer_group,group_price_price,media_attribute_id,media_image,media_lable,media_position,media_is_disabled
GC0011,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,White meat. Gouda cheese. Milk and custard based desserts,,0,0,,,Loosely-rolled dark green leaves.,,,,,,,,,Use config,Use config,Frozen Peak Oolong,,,"The most famous and probably the first Taiwanese oolong. Cultivated in the vicinity of a snow-peaked mountain, hence its name. ",Block after Info Column,"Dong Ding Mountain, Taiwan",,68,0,,,,,,,1,Medium bodied tea. Creamy floral notes of gardenia and vanilla giving it a mild sweetness.,2,Yellow with a tinge of green,,,26/01/2015 08:44:00,frozen-peak-oolong,frozen-peak-oolong.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0010,0,GC0010,0,,,,all,all,2,64.6,,,,88,,,1,0
GC0012,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,,1,White meats. Mimolette cheese. Milk and custard based dessert,,0,0,,,Twisted leaves of dark green and brown.,,,,,,,,,Use config,Use config,Iron Goddess of Mercy,,,Legend has it that this tea was a divine gift from the Bodhisattva Guanyin. It is now one of the oldest known oolongs.,Block after Info Column,"Anxi County, Fujian province, China",,78,0,,,,20/01/2014 00:00:00,64,26/01/2014 00:00:00,1,"Medium bodied tea. Delicate, buttery floral notes of hyacinth coupled with the sweetness of caramel. ",2,Light gold,,,27/01/2014 03:14:00,iron-goddess-of-mercy,iron-goddess-of-mercy.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0010,0,GC0010,0,,,,,,,,,,,88,,,1,0
GC0013,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,Red meats and game meats. Herb and goat cheese. Chocolate truffles and chocolate roulade,,0,0,,,Well-twisted dark green and brown leaves of semi-oxidised tea.,,,,,,,,,Use config,Use config,Vintage Red Robe,,,"Served to Chinese court officials, this oolong tea comes from the mineral-rich soil of the Wuyi mountains.",Block after Info Column,"Wuyi Mountain, Fujian Province, China",,48,0,,,,20/01/2014 00:00:00,39.4,26/01/2014 00:00:00,2,"Full bodied tea. Woody top notes paired with vegetal, marine notes of seaweed. Slightly bitter. ",2,Ochre,,,02/03/2015 04:02:00,vintage-red-robe-circa-2005,vintage-red-robe-circa-2005.html,4,40,99,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,1,0,1,0,0,,,GC0010,0,GC0010,0,,,,,,,,,,,88,,,1,0
GC0014,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Pork belly and well marbled beef, Emmental cheese, chocolate desserts,H71 fried dough pastries",,0,0,,,Twisted dark brown leaves with silver tips.,,,,,,,,,Use config,Use config,Beauty of the East,,,Picked only once a year when the harvest is at its finest. Extraordinary care is taken from the harvesting to the processing of tea leaves.,Block after Info Column,"Taoyuan, Formosa, Taiwan",,38,0,,,,20/01/2014 00:00:00,31.2,26/01/2014 00:00:00,1,"Medium bodied tea. Nutty top notes with velvety, floral and woody notes, ending in a sweet jasmine finish. 
",2,Ochre,,,26/01/2015 07:36:00,beauty-of-the-east,beauty-of-the-east.html,4,60,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0005,0,GC0005,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0015,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Roast pork, Peking duck, Bleu D'auvergne, fruit cakes and tartlets",,0,0,,,Curled dark brown leaves.,,,,,,,,,Use config,Use config,Dan Cong Magnolia,,,Also known as Feng Huang Shui Xian. Tea leaves are only lightly fired to retain a slight bubbly quality in the brew.,Block after Info Column,"Phoenix Mountain, Guang Dong Province, China",,38,0,,,,20/01/2014 00:00:00,31.2,26/01/2014 00:00:00,1,Medium bodied tea. Malty floral aroma with fruity notes of peaches and guava. Refreshingly sweet aftertaste.,2,Ochre,,,26/01/2015 08:14:00,dan-cong-magnolia,dan-cong-magnolia.html,4,40,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0002,0,GC0002,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0016,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 85-90�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,,1,"Red meats and fowl, aged Cheddar cheese, dark chocolate desserts.",,0,0,,,Fine spring pickings of organic black tea with a sprinkling of white downy buds.,,,,,,,,,Use config,Use config,Darjeeling Gopaldhara Oolong Tea 2nd Flush,,,"Exclusive to the highland district in Northern India, only a limited amount of tea is produced every year.",Block after Info Column,"Darjeeling, India",,38,0,,,,,,,1,Full bodied tea. Floral top notes with mid notes of ripe stone fruit and a mild buttery back note.,2,Dark amber,,,22/10/2013 02:32:00,darjeeling-gopaldhara-oolong-tea-2nd-flush,darjeeling-gopaldhara-oolong-tea-2nd-flush.html,4,40,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,0,1,0,0,,,GC0011,0,GC0011,0,,,,,,,,,,,88,,,1,0
GC0017,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,,1,"Grilled mutton and lamb, Gorgonzola cheese, dried fruit.",,0,0,,,"Dark brown leaves with golden tips, covered in a soft golden down.",,,,,,,,,Use config,Use config,Yunnan Gold Gongfu,,,"Originating from ""beyond the clouds"" yet tasting down-to-earth. Cultivated in Yunnan province where the history of tea dates back 17 years, ",Block after Info Column,"Yunnan Province, China",,38,0,,,,27/01/2014 00:00:00,31.2,02/02/2014 00:00:00,1,"Bold, medium bodied tea. Smoky, woody aroma with an earthy character and honeyed notes.",2,Dark copper,,,04/02/2014 02:20:00,yunnan-gold-gongfu,yunnan-gold-gongfu.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0018,0,GC0018,0,,,,,,,,,,,88,,,1,0
GC0018,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Grilled red meats, Edam and Gorgonzola cheese, dark chocolate desserts",,0,0,,,Tightly twisted black leaves and golden buds.,,,,,,,,,Use config,Use config,Keemun Red Gongfu,,,"Keemun teas are harvested from the fields amongst the Yellow Mountains and the Yangtze River, making it one of the most renowned Chinese black teas. ",Block after Info Column,"Qi Men Village, Anhui Province, China",,38,0,,,,27/01/2014 00:00:00,31.2,02/02/2014 00:00:00,1,"Medium bodied tea. Aroma of cocoa carrying over to velvety, sweet notes of dark chocolate, coupled with notes of leather. ",2,Dark copper,,,26/01/2015 09:24:00,keemun-red-gongfu,keemun-red-gongfu.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0017,0,GC0017,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0019,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Cold cuts, egg dishes, Brie and Camembert cheese, pavlova, custard desserts.",,0,0,,,Twisted dark brown leaves with pale yellow and white leaf buds.,,,,,,,,,Use config,Use config,Darjeeling Margaret's Hope TGFOP 2nd Flush,,,"Darjeeling tea is unrivaled by any other in terms of flavour, also known as the Champagne� of tea.",Block after Info Column,"Darjeeling, North India",,38,0,,,,,,,1,"Medium bodied tea. Floral, fruity top notes of dried peaches and apricots, with a hint of spices. ",2,Dark brown,,,26/01/2015 08:18:00,darjeeling-margaret-s-hope-tgfop-2nd-flush,darjeeling-margaret-s-hope-tgfop-2nd-flush.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0016,0,GC0016,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0020,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Dried fruits and nuts, Brie and Camembert cheese, baked Alaskan, chocolate desserts.",,0,0,,,Thick dark green leaves with silver tips harvested in June.,,,,,,,,,Use config,Use config,Nepal Ilam SFTGFOP1 2nd Flush,,,A cousin of Darjeeling teas with similar preparation methods. 2nd flush teas are favoured over 1st flush teas for their fuller flavour and sweeter taste.,Block after Info Column,"Himalaya, Nepal",,48,0,,,,,,,1,"Rounded, medium bodied tea. Citrus, floral top notes with a touch of muscat, and notes of sweet honey.",2,Light copper,,,26/01/2015 09:35:00,nepal-ilam-sftgfop1-2nd-flush,nepal-ilam-sftgfop1-2nd-flush.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0019,0,GC0019,0,,,,all,all,2,45.6,,,,88,,,1,0
GC0021,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Red meat with spices, Provolone and goat cheese, cheesecake, pecan pie.",,0,0,,,Dark green and brown leaves with silver tips.,,,,,,,,,Use config,Use config,Assam Hazelbank TGFOP1 2nd Flush,,,"Situated in the upper valley along the banks of the Brahmaputra river in India, the Hazelbank estate delivers one of the world's finest teas. ",Block after Info Column,Northern India,,38,0,,,,,,,1,"Slightly astringent, medium bodied tea with floral malty notes. Notes of tobacco and stewed autumn fruits. ",2,Copper,,,26/01/2015 07:33:00,assam-hazelbank-tgfop1-2nd-flush,assam-hazelbank-tgfop1-2nd-flush.html,4,80,98,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0018,0,GC0018,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0022,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 2 -4 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Poultry and cold cuts, aged Edam and Cheddar cheese, pumpkin desserts.",,0,0,,,"Wiry, dark brown leaves.",,,,,,,,,Use config,Use config,Ceylon Lovers' Leap FOP,,,"Obtained from the tea district in the highest mountains of Sri Lanka, this fine tea offers a delightful fragrance.",Block after Info Column,"Nuwara Eliya district, Sri Lanka",,38,0,,,,,,,1,"Full bodied tea with top notes of dried fruit and herbaceous, spicy midnotes.  Long, astringent finishing.",2,Dark copper,,,26/01/2015 07:40:00,ceylon-lovers-leap-fop,ceylon-lovers-leap-fop.html,4,80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0017,0,GC0017,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0023,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Red meats in sauces or grilled, caramelised desserts, fruit and nut chocolates",,0,0,,,Dark brown and golden fully-oxidised leaves.,,,,,,,,,Use config,Use config,Vintage Pu'erh 2003,,,Flavours mature with time to produce Pu'erh's distinctive earthy and musky tones.,Block after Info Column,"Yunnan province, China",,38,0,,,,27/01/2014 00:00:00,31.2,02/02/2014 00:00:00,2,"Full bodied tea. A forest, earthy character with a slightly marine bouquet, ending with a velvety, smooth finish. ",2,Sombre brown,,,02/03/2015 03:26:00,vintage-pu-erh-2003,vintage-pu-erh-2003.html,4,60,99,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,1,0,1,0,0,,,GC0021,0,GC0021,0,,,,,,,,,,,88,,,1,0
GC0024,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Game meats, caramelised desserts, liqueur chocolates. ",,0,0,,,Dark brown and golden fully-oxidised leaves.,,,,,,,,,Use config,Use config,Imperial Pu'erh,,,"A timeless classic for Chinese black tea lovers, known for its health benefits. ",Block after Info Column,"Yunnan province, China",,48,0,,,,27/01/2014 00:00:00,39.4,02/02/2014 00:00:00,1,Full bodied tea. Bold woody character with notes of cedar wood and damp moss.,2,Sombre brown,,,02/03/2015 03:25:00,imperial-pu-erh,imperial-pu-erh.html,4,60,99,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,0,1,0,1,0,0,,,GC0007,0,GC0007,0,,,,all,all,2,45.6,,,,88,,,1,0
GOUR0001-01,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Cr���me brulee, fruit tarts, custard desserts, white chocolate",,,0,,,Black tea scented with bergamot and vanilla.,,,,,,,,,Use config,Use config,Earl Grey Creme (10 gr),,,Indulge in the quintessential English afternoon favourite flavoured with cream for a smoother finish.,Block after Info Column,Sri Lanka,,5,0,,,,,,,2,"Medium bodied tea. Floral aroma fades to citrus notes, with a medium finish. A tinge of vanilla cream back note.",2,Copper red,,,08/01/2015 02:41:00,earl-grey-creme,earl-grey-creme.html,1,20,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,ART0007,,ART0007,,,,,,,,,,,,88,,,1,0
GOUR0001-02,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Cr���me brulee, fruit tarts, custard desserts, white chocolate",,,0,,,Black tea scented with bergamot and vanilla.,,,,,,,,,Use config,Use config,Earl Grey Creme (100 gr),,,Indulge in the quintessential English afternoon favourite flavoured with cream for a smoother finish.,Block after Info Column,Sri Lanka,,18,0,,,,24/02/2015 00:00:00,14.4,,1,"Medium bodied tea. Floral aroma fades to citrus notes, with a medium finish. A tinge of vanilla cream back note.",2,Copper red,,,24/02/2015 06:47:00,earl-grey-creme,earl-grey-creme-2062.html,1,110,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,ART0007,,ART0007,,,,,,,,,,,,88,,,1,0
GOUR0001-03,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Cr���me brulee, fruit tarts, custard desserts, white chocolate",,,0,,,Black tea scented with bergamot and vanilla.,,,,,,,,,Use config,Use config,Earl Grey Creme (50 gr),,,Indulge in the quintessential English afternoon favourite flavoured with cream for a smoother finish.,Block after Info Column,Sri Lanka,,9,0,,,,24/02/2015 00:00:00,7.2,,1,"Medium bodied tea. Floral aroma fades to citrus notes, with a medium finish. A tinge of vanilla cream back note.",2,Copper red,,,24/02/2015 06:46:00,earl-grey-creme,earl-grey-creme-2063.html,1,50,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,ART0007,,ART0007,,,,,,,,,,,,88,,,1,0
GOUR0001,,Default,grouped,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 96-98�C. Steep for 3 -5 mins.,,,,22/09/2012 12:07:00,,,,,,No,1,"Cr���me brulee, fruit tarts, custard desserts, white chocolate",,,0,,,Black tea scented with bergamot and vanilla.,,,,,,,,,,,Earl Grey Creme Black Tea,,,Indulge in the quintessential English afternoon favourite flavoured with cream for a smoother finish.,Block after Info Column,Sri Lanka,,,0,,,,,,,1,"Medium bodied tea. Floral aroma fades to citrus notes, with a medium finish. A tinge of vanilla cream back note.",,Copper red,,,24/02/2015 06:47:00,earl-grey-creme,earl-grey-creme-2075.html,4,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,ART0007,0,ART0007,0,GOUR0001-02,0,2,,,,,,,,88,,,1,0
