sku,store,attribute_set,type,category,root_category,product_websites,brewing,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,ebizmarts_mark_visited,enable_googlecheckout,food_pairing,gallery,gift_message_available,has_options,image,image_label,ingredients,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,nice_flowery_sentence,options_container,origins,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tasting_notes,tax_class_id,tea_liquor,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
ART0011,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of boiling water. Steep for 6 -8 mins.,,,,22/9/12 12:06,,,,,test description,No,1,"Excellent with salad, fish or chicken. Serve without milk. May be served with honey or add ice for a special treat. ",,,0,,,"Herbal tisane of chamomile, lavender and marigold. ",,,,"An award-winning tea. This herbal tisane is made of Chamomile, Lavender and Marigold that aids in digestion and restlessness. A traditional soothing blend that helps to relax the body and soul",,Caffeine-Free Tea | Chamomile Dream | Artisan Selection | Award-Winning Tea,,,Use config,Use config,Chamomile Dream Caffeine-Free Tea,,,"A soothing blend for relaxation, and also a traditional remedy to aid digestion and restlessness. 
<p><strong>Past Awards:</strong>
Great Taste Award 2011
",Block after Info Column,Egypt,,16.6,0,test description,,,,,,Enabled,Light bodied infusion with floral top notes of chamomile and pronounced herbaceous notes. ,Taxable Goods,Light gold,,,6/1/15 7:53,chamomile-dream,chamomile-dream.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,0,1,0,1,0,0,,,GOUR0046,0,GOUR0046,0,,,,,,,,,,,88,,,1,0
ART0012,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of boiling water. Steep for 6 -8 mins.,,,,22/9/12 12:07,,,,,test description,No,1,"Excellent with chicken, fish, pork. Serve without milk. ",,,0,,,Herbal tisane of peppermint and lemon myrtle. ,,,,"A herbal tisane of peppermint and lemon myrtle, enjoy a cup of soothing mint tea for the tummy after a hard day's work. The perfect drink for evenings",,Caffeine-Free Tea | Lemon Ginger Mint | Artisan Selection | Mint Tea,,,Use config,Use config,Lemon Ginger Mint Tea,,,"Soothing for the tummy and refreshing for the mind after a hard day, perfect for evenings.  ",Block after Info Column,"China, Australia ",,16.6,0,test description,,,,,,Enabled,Light bodied brew with a fresh minty flavour and a hint of a citrus fragrance. ,Taxable Goods,Light copper,,,6/1/15 7:43,lemon-ginger-mint,lemon-ginger-mint.html,"Catalog, Search",200,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,ART0005,0,ART0005,0,,,,,,,,,,,88,,,1,0
ART0013,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of hot water. Steep for 4 -8 mins depending on tea type.,,,,22/9/12 12:07,,,,,test description,No,1,,,0,0,,,"Pearl of the Orient, Marrakesh Mint, Hanami, Contessa Grey, Earl Grey Lavender, British Breakfast Tea, Straits Chai, Chamomile Dream, Lemon Ginger Mint",,,,,,,,,Use config,Use config,Treasures,,,"An assortment of 10 types of green, black and herb teas from the Artisan Selection.",Block after Info Column,,,16.6,0,test description,,,,,,Enabled,,Taxable Goods,,,,2/1/15 3:17,treasures,treasures.html,"Catalog, Search",200,40,40,1,0,0,1,1,1,10000,1,1,1,1,0,0,0,1,0,1,0,0,,,ART0001,0,ART0001,0,,,,,,,,,,,88,,,1,0
GC0001,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/9/12 12:07,,,,,test description,No,1,Mild-flavoured dishes like tofu and steamed poultry. ,,0,0,,,"Imperial harvest of slender, downy leaf buds.",,,,,,,,,Use config,Use config,Silver Needle,,,"Considered the best white tea in the world, only the finest delicate young buds are handpicked on 2 days in a year.",Block after Info Column,"Fujian Province, China",,38,0,test description,,,,,,Enabled,Light bodied tea. Aroma of green chestnut with a fresh floral fragrance.,Taxable Goods,Yellow with a tinge of green,,,26/1/15 9:36,silver-needle,silver-needle.html,"Catalog, Search",40,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0002,0,GC0002,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0002,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Stir-fried vegetables, roasted pumpkin dishes, Asiago cheese, Cr���me brulee, bread & butter pudding.",,0,0,,,Fine harvest of young white buds with some tender green leaves.,,,,,,,,,Use config,Use config,White Peony,,,"Similar to silver needle, this white tea brew cools the body on hot summer evenings.",Block after Info Column,"Fujian Province, China",,38,0,test description,,,,,,Disabled,"Light bodied, velvety tea. Floral notes of English rose paired with fruity apricot. ",Taxable Goods,Yellow with a tinge of green,,,23/01/2015 03:51:00,white-peony,white-peony.html,"Catalog, Search",40,99,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,1,0,1,0,0,,,GC0001,0,GC0001,0,,,,,,,,,,,88,,,1,0
GC0003,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Grilled poultry, dried fruit, mozzarella cheese, vanilla and coconut desserts",,0,0,,,Pan fried green tea curled into tiny spirals.,,,,,,,,,Use config,Use config,Jade Spring,,,"Harvested in early spring as the buds just begin to sprout, this highly prized tea is one of the rarest in the world.",Block after Info Column,"Jiangsu province, China. ",,38,0,test description,,,13/01/2014 00:00:00,31.2,19/01/2014 00:00:00,Enabled,"Light bodied tea. Smoky aroma with woody and animal notes, and a slight hint of sweetness.",Taxable Goods,Pale yellow,,,18/07/2014 08:42:00,jade-spring,jade-spring.html,"Catalog, Search",80,99,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,1,0,1,0,0,,,GC0005,0,GC0005,0,,,,,,,,,,,88,,,1,0
GC0004,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Steamed food, aged Comte, desserts with walnut, yam or sweet potato.",,0,0,,,Flat greenish yellow leaves of roasted green tea.,,,,,,,,,Use config,Use config,Lion's Peak Dragonwell,,,"Inarguably the most famous Chinese green tea, this is of the highest quality among Dragonwell teas, and a favourite of past Qing dynasty emperors. ",Block after Info Column,"Zhejiang Province, China",,68,0,test description,,,13/01/2014 00:00:00,55.8,19/01/2014 00:00:00,Enabled,"Light bodied tea with an umami flavour. Toasty aroma of roasted chestnuts, coupled with slight vegetal notes and a hint of hyacinth.",Taxable Goods,Pale yellow,,,02/03/2015 04:05:00,lion-peak-dragonwell,lion-peak-dragonwell.html,"Catalog, Search",60,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0010,0,GC0010,0,,,,all,all,2,64.6,,,,88,,,1,0
GC0005,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Steamed seafood, Brie and Camembert cheese, poached fruit in wine.",,0,0,,,"Imperial Autumnal harvest of fine tippy green tea, with Jasmine flowers.",,,,,,,,,Use config,Use config,Jasmine Winter Flakes,,,"A refined brew pure as winter snow, and light as drifting snowflakes. ",Block after Info Column,"Guangxi Province, China",,48,0,test description,,,13/01/2014 00:00:00,39.4,19/01/2014 00:00:00,Enabled,"Medium bodied tea. Top notes of hawthorn berries and a mild mineral note, with a slight astringent finish. ",Taxable Goods,Yellow with a tinge of green.,,,26/01/2015 09:19:00,jasmine-winter-flakes,jasmine-winter-flakes.html,"Catalog, Search",60,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,0,1,0,1,0,0,,,GC0010,0,GC0010,0,,,,all,all,2,45.6,,,,88,,,1,0
GC0006,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,,1,"Steamed vegetables, Japanese desserts with azuki beans or rice powder, white chocolate, blue cheese.  ",,0,0,,,"Needle-shaped, jade green leaves.",,,,,,,,,Use config,Use config,Gyokuro Pearl Dew,,,Considered by many to be the finest and most precious green tea in the world. Harvested in spring and grown in the shade.,Block after Info Column,Japan,,78,0,test description,,,,,,Enabled,Light-bodied tea that is slightly milky and brothy with umami notes. Mildly acidic while velvety with notes of the ocean and refreshing spring greens.,Taxable Goods,Yellow with a tinge of green.,,,22/10/2013 02:37:00,gyokuro-pearl-dew,gyokuro-pearl-dew.html,"Catalog, Search",60,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0008,0,GC0008,0,,,,,,,,,,,88,,,1,0
GC0007,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Grilled meats, smoked cheeses, chocolate or candied chestnut desserts.",,0,0,,,Roasted stalks of green tea.,,,,,,,,,Use config,Use config,Hojicha,,,"Easily paired with meals, and naturally low in caffeine. Hojicha was introduced in Kyoto and quickly gained popularity throughout Japan. ",Block after Info Column,"Shizouka Prefecture, Japan.",,38,0,test description,,,,,,Enabled,"Medium bodied tea. Strong toasty notes of cedar wood, with a sweet, caramel finish. Slightly nutty in flavour.",Taxable Goods,Dark amber,,,26/01/2015 08:45:00,hojicha,hojicha.html,"Catalog, Search",40,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,GC0015,0,GC0015,0,,,,all,all,2,36.1,,,,88,,,1,0
GC0008,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Sushi, seafood, grilled or poached fish,  Asiago and Manchego cheese, deep fried desserts, cream puffs.",,0,0,,,Flattened spears of steamed green tea.,,,,,,,,,Use config,Use config,Uji Sencha,,,"Sencha produced in Uji, Japan's oldest tea-producing region.",Block after Info Column,"Kyoto Prefecture, Japan",,48,0,test description,,,,,,Enabled,"Medium bodied, brothy brew. Bold marine, vegetal notes of seaweed with a slightly bitter finishing.  ",Taxable Goods,Deep gold,,,26/01/2015 09:37:00,uji-sencha,uji-sencha.html,"Catalog, Search",80,99,0,1,0,0,1,1,1,10000,1,1,1,1,1,0,0,1,0,1,0,0,,,ART0006,0,ART0006,0,,,,all,all,2,45.6,,,,88,,,1,0
GC0009,,Default,simple,Online Store/Tea/Collections,Default Root,base,2g for 200ml of water at 70-80�C. Steep for 3 -4 mins.,,,,22/09/2012 12:07:00,,,,,test description,No,1,"Vegetable dishes, mushrooms and steamed tofu. ",,0,0,,,Downy long buds.,,,,,,,,,Use config,Use config,Jun Shan Silver Needle,,,Imperial harvest of one of China's rarest teas. Only 5 kilograms are produced each year.,Block after Info Column,"Hunan province, China",,78,0,test description,,,,,,Disabled,Light bodied tea. Mild notes of exotic fruit and chestnut.,Taxable Goods,Pale yellow,,,02/03/2015 04:21:00,jun-shan-silver-needle,jun-shan-silver-needle.html,"Catalog, Search",40,99,0,1,0,0,1,1,1,10000,1,0,1,1,1,0,0,1,0,1,0,0,,,GC0001,0,GC0001,0,,,,,,,,,,,88,,,1,0
